,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,October,Year to Date (to October),Year to Date (to October),Year to Date (to October),Year to Date (to October),2020 Financial Year,2020 Financial Year,2020 Financial Year,2020 Financial Year,Whole of Life,Whole of Life,Whole of Life,Whole of Life
Cost Element,,Cluster Contact,,Project Definition,,Actual,Plan (0),Actual,Variance,Commitments,Plan (0),Actual,Variance,Commitments,Plan (0),Actual,Variance,Commitments
PROJ-BI,OPERATING RESULT,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,"4,858","-42,970","19,274","-62,244",,"-4,891","19,274","-24,166",,"3,242","-34,684","37,925",
PROJ-BI,OPERATING RESULT,1343,Paul Cleary,R-11187,NSSMC Spray Cooling Stage 3B,,"20,947","20,947",0,,"-12,053","20,947","-33,000",,"20,325","53,325","-33,000",
PROJ-BI,OPERATING RESULT,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,"25,160","53,285","-28,125",
PROJ-BI,OPERATING RESULT,1343,Paul Cleary,R-12652,Seed termination: stage 1,,"-28,739",,"-28,739",,"-53,739",,"-53,739",,-11,"53,728","-53,739",
PROJ-BI,OPERATING RESULT,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,"1,348","7,304","6,304","1,000",,"7,304","6,304","1,000",,"-7,331","19,069","-26,400",
PROJ-BI,OPERATING RESULT,1343,Paul Cleary,R-13849,Initiative: CM/AI for Design Optimisatio,,0,,0,,1,,1,,1,,1,
PROJ-BI,OPERATING RESULT,1872,Gary Delaney,R-91283,Group - Computational Modelling,"44,288","123,518","123,516",2,,"367,548","123,516","244,032",,"367,548","123,516","244,032",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-11610,SAGI-North Project,"-72,476","21,454","-82,834","104,287",,"-97,984","-82,834","-15,150",,"-224,161","-114,056","-110,106",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-12581,Deep Earth Imaging Post-doc Supervision,"5,327","21,723","21,135",588,,"64,642","21,135","43,507",,"233,019","87,855","145,164",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"-4,724","37,266","-41,990",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-12962,Armadillo development + engagement,"2,350","9,325","9,325",0,,"27,749","9,325","18,424",,"57,083","38,659","18,424",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-13504,Improving process efficiency and certain,"12,422","16,083","-50,700","66,783",,"16,111","-50,700","66,811",,"-10,009","-76,921","66,911",
